row_id,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
0,36,technician,divorced,secondary,no,861,no,no,telephone,29,aug,2,-1,0,unknown,no
1,24,student,single,secondary,no,4126,no,no,cellular,5,apr,4,185,7,failure,yes
2,44,technician,single,secondary,no,244,yes,no,cellular,12,aug,4,-1,0,unknown,yes
3,48,unemployed,married,secondary,no,0,no,no,telephone,31,jul,11,-1,0,unknown,no
4,38,technician,married,secondary,no,257,no,no,cellular,26,aug,10,-1,0,unknown,no
5,48,blue-collar,married,secondary,no,1513,no,yes,cellular,17,jul,1,-1,0,unknown,no
6,50,management,married,tertiary,no,4315,yes,no,cellular,22,jul,11,-1,0,unknown,no
7,46,services,married,tertiary,no,-780,no,yes,cellular,5,feb,1,-1,0,unknown,no
8,46,services,married,tertiary,no,474,no,no,unknown,9,jun,2,-1,0,unknown,no
9,45,admin.,married,secondary,no,248,no,no,cellular,16,jul,2,-1,0,unknown,no
10,63,retired,married,tertiary,no,262,no,no,cellular,8,jul,1,-1,0,unknown,no
11,46,blue-collar,married,primary,no,10333,yes,no,unknown,9,jun,4,-1,0,unknown,no
12,55,unknown,married,tertiary,no,3567,no,no,cellular,30,apr,1,-1,0,unknown,no
13,50,management,married,secondary,no,732,no,no,cellular,7,apr,7,-1,0,unknown,no
14,59,retired,divorced,secondary,no,679,no,no,cellular,30,jul,4,-1,0,unknown,yes
15,59,admin.,married,secondary,no,506,yes,no,cellular,13,may,1,-1,0,unknown,no
16,60,management,married,secondary,no,725,yes,no,cellular,8,jul,1,-1,0,unknown,no
17,52,technician,married,tertiary,no,523,yes,yes,cellular,8,jul,1,-1,0,unknown,no
18,53,blue-collar,married,secondary,no,0,no,yes,telephone,15,jul,4,-1,0,unknown,no
19,50,management,married,tertiary,no,412,yes,yes,cellular,11,aug,5,-1,0,unknown,no
20,25,services,single,secondary,no,-439,yes,no,unknown,12,may,1,-1,0,unknown,no
21,44,admin.,married,secondary,no,72,yes,yes,unknown,28,may,2,-1,0,unknown,no
22,39,blue-collar,married,primary,no,2715,yes,no,unknown,2,jun,3,-1,0,unknown,no
23,50,unemployed,married,secondary,no,1772,no,no,cellular,29,jul,4,-1,0,unknown,no
24,55,services,divorced,primary,no,96,yes,yes,unknown,5,may,2,-1,0,unknown,no
25,52,management,married,tertiary,no,249,yes,yes,telephone,7,may,1,-1,0,unknown,no
26,37,admin.,married,secondary,no,6127,yes,no,cellular,17,apr,2,-1,0,unknown,no
27,39,unemployed,divorced,secondary,no,265,yes,no,unknown,27,may,1,555,2,other,yes
