row_id,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y,is_pdays_missing,has_previous_contact,balance_shifted,log_balance,campaign_group
11786,38,technician,married,tertiary,no,4383,no,no,cellular,4,feb,4,-1,0,unknown,1,1,0,12402.0,9.42569365781533,3_to_4
2930,41,admin.,married,tertiary,no,1,yes,no,telephone,18,may,2,361,3,failure,1,0,1,8020.0,8.989818381366925,2
552,34,technician,married,tertiary,no,149,no,no,cellular,22,aug,2,-1,0,unknown,1,1,0,8168.0,9.00810178134187,2
14395,32,blue-collar,married,secondary,no,113,yes,yes,unknown,20,may,2,-1,0,unknown,0,1,0,8132.0,9.003685138166775,2
10612,40,unemployed,divorced,secondary,no,1694,no,no,cellular,12,aug,6,-1,0,unknown,1,1,0,9713.0,9.18132342290569,5_or_more
22240,37,services,single,secondary,no,99,yes,yes,cellular,20,apr,1,-1,0,unknown,0,1,0,8118.0,9.001962272862446,1
30680,25,admin.,single,tertiary,no,2916,no,no,cellular,12,oct,1,-1,0,unknown,0,1,0,10935.0,9.299815378403785,1
33237,40,blue-collar,single,primary,no,1,no,no,unknown,20,jun,11,-1,0,unknown,0,1,0,8020.0,8.989818381366925,5_or_more
3358,53,unemployed,divorced,secondary,no,468,no,no,cellular,22,aug,6,-1,0,unknown,0,1,0,8487.0,9.046408680293819,5_or_more
25015,26,services,single,secondary,no,76,yes,no,unknown,3,jun,1,-1,0,unknown,0,1,0,8095.0,8.999125391527247,1
2783,46,technician,married,secondary,no,231,yes,no,unknown,3,jun,1,-1,0,unknown,0,1,0,8250.0,9.018089684104343,1
21480,26,management,single,tertiary,no,122,no,yes,cellular,8,jul,1,-1,0,unknown,0,1,0,8141.0,9.004791129062925,1
31460,31,management,single,tertiary,no,9421,no,no,cellular,25,nov,1,-1,0,unknown,1,1,0,17440.0,9.766579035268668,1
12710,27,admin.,divorced,secondary,no,2,no,yes,unknown,3,jul,1,-1,0,unknown,0,1,0,8021.0,8.989943046329998,1
29266,27,management,single,tertiary,no,170,no,no,cellular,29,jan,2,-1,0,unknown,0,1,0,8189.0,9.010669176847115,2
14245,34,management,single,secondary,no,66,yes,no,unknown,9,may,2,-1,0,unknown,0,1,0,8085.0,8.997889450200717,2
15295,41,blue-collar,married,secondary,no,167,no,no,unknown,20,jun,1,-1,0,unknown,0,1,0,8186.0,9.010302809376448,1
28229,48,admin.,single,secondary,no,1544,yes,no,telephone,30,jun,1,450,2,failure,1,0,1,9563.0,9.165761328578215,1
10296,59,housemaid,married,primary,no,100,no,no,cellular,5,aug,1,-1,0,unknown,1,1,0,8119.0,9.002085433155724,1
4042,30,self-employed,married,secondary,no,220,yes,yes,cellular,15,may,3,-1,0,unknown,0,1,0,8239.0,9.016755622903517,3_to_4
22871,24,management,single,tertiary,no,736,yes,no,cellular,15,apr,2,246,2,other,1,0,1,8755.0,9.077494458642754,2
26816,45,admin.,married,secondary,no,2556,no,no,telephone,26,jan,2,-1,0,unknown,0,1,0,10575.0,9.266342562091468,2
20630,37,technician,single,secondary,no,1130,no,no,cellular,26,feb,1,-1,0,unknown,1,1,0,9149.0,9.121509158269568,1
35065,36,management,single,secondary,no,302,no,no,unknown,28,may,6,-1,0,unknown,0,1,0,8321.0,9.026657889542886,5_or_more
28584,38,management,married,tertiary,no,-1884,yes,no,cellular,6,may,2,289,1,failure,0,0,1,6135.0,8.721928343047091,2
11427,30,admin.,married,tertiary,no,0,yes,no,cellular,24,jul,2,-1,0,unknown,0,1,0,8019.0,8.98969370086056,2
24024,31,unemployed,married,primary,no,-63,yes,no,unknown,20,may,1,-1,0,unknown,0,1,0,7956.0,8.981807323377534,1
22197,55,services,divorced,primary,no,2923,yes,no,cellular,29,jan,1,259,2,failure,0,0,1,10942.0,9.300455261418444,1
28676,48,blue-collar,married,secondary,no,7985,yes,no,cellular,11,may,2,347,1,failure,0,0,1,16004.0,9.680656452403964,2
19562,33,management,single,tertiary,no,4782,yes,no,cellular,11,aug,1,-1,0,unknown,0,1,0,12801.0,9.45735668770195,1
14602,42,housemaid,single,secondary,no,578,no,no,telephone,28,jan,1,-1,0,unknown,0,1,0,8597.0,9.059284897056227,1
33606,49,technician,divorced,secondary,no,1669,yes,no,unknown,20,jun,3,-1,0,unknown,0,1,0,9688.0,9.178746500385005,3_to_4
33303,33,management,single,tertiary,no,3495,yes,yes,cellular,21,nov,2,-1,0,unknown,0,1,0,11514.0,9.351405812254786,2
11259,46,self-employed,married,tertiary,no,2421,no,no,cellular,19,nov,1,100,4,failure,1,0,1,10440.0,9.25349564229011,1
16447,45,management,divorced,secondary,no,1950,no,no,cellular,4,aug,1,-1,0,unknown,0,1,0,9969.0,9.207335862955883,1
23173,40,self-employed,married,tertiary,no,252,yes,no,cellular,15,may,6,-1,0,unknown,0,1,0,8271.0,9.02063159674821,5_or_more
168,34,management,married,tertiary,no,1433,no,no,cellular,8,aug,3,-1,0,unknown,0,1,0,9452.0,9.154087430425385,3_to_4
5625,40,blue-collar,married,primary,no,0,yes,no,unknown,5,may,1,-1,0,unknown,0,1,0,8019.0,8.98969370086056,1
13394,33,technician,single,secondary,no,719,yes,no,cellular,9,apr,2,316,6,failure,1,0,1,8738.0,9.075551045627543,2
16593,31,admin.,single,secondary,no,223,yes,no,cellular,17,apr,1,315,11,success,0,0,1,8242.0,9.017119634313227,1
25363,37,services,divorced,secondary,no,490,yes,no,cellular,2,feb,1,-1,0,unknown,0,1,0,8509.0,9.04899722156742,1
328,33,self-employed,married,tertiary,no,215,no,yes,cellular,22,aug,2,-1,0,unknown,0,1,0,8234.0,9.016148642611741,2
28780,41,blue-collar,married,primary,no,1500,yes,no,cellular,31,jul,6,-1,0,unknown,0,1,0,9519.0,9.161150127785412,5_or_more
29478,38,services,married,secondary,no,2669,yes,no,cellular,20,apr,2,-1,0,unknown,0,1,0,10688.0,9.276970454273945,2
9373,33,management,divorced,tertiary,no,312,yes,yes,cellular,13,may,1,359,3,failure,0,0,1,8331.0,9.027858802380862,1
14210,27,admin.,single,secondary,no,428,no,yes,telephone,11,jul,2,-1,0,unknown,0,1,0,8447.0,9.041685005946043,2
10499,38,services,divorced,secondary,no,710,yes,no,cellular,18,may,2,-1,0,unknown,0,1,0,8729.0,9.074520648833648,2
7092,51,management,single,tertiary,no,1146,yes,yes,unknown,19,may,4,-1,0,unknown,0,1,0,9165.0,9.123256265069069,3_to_4
4796,25,services,single,secondary,no,64,no,no,cellular,21,jul,11,-1,0,unknown,0,1,0,8083.0,8.997642078523512,5_or_more
32651,39,technician,divorced,secondary,no,80,no,no,unknown,20,jun,2,-1,0,unknown,0,1,0,8099.0,8.99961934066053,2
14851,43,blue-collar,married,secondary,no,1127,yes,no,cellular,17,apr,3,345,2,other,0,0,1,9146.0,9.121181235656364,3_to_4
22264,51,admin.,married,tertiary,no,26,yes,no,telephone,28,aug,3,-1,0,unknown,0,1,0,8045.0,8.992930352509733,3_to_4
14375,47,management,married,tertiary,no,0,no,no,unknown,5,jun,2,-1,0,unknown,0,1,0,8019.0,8.98969370086056,2
28214,47,services,married,secondary,no,4,no,no,cellular,13,aug,2,105,6,success,0,0,1,8023.0,8.990192329641772,2
25931,42,blue-collar,married,primary,no,244,yes,no,cellular,16,apr,1,-1,0,unknown,0,1,0,8263.0,9.019664010799474,1
35389,42,admin.,married,secondary,no,534,yes,no,unknown,16,may,2,-1,0,unknown,0,1,0,8553.0,9.054154288786854,2
5051,49,retired,married,primary,no,375,no,yes,telephone,21,jul,7,-1,0,unknown,0,1,0,8394.0,9.035391569511642,5_or_more
414,39,housemaid,single,secondary,no,2022,no,no,unknown,6,jun,1,-1,0,unknown,0,1,0,10041.0,9.21453157659465,1
32472,40,services,divorced,secondary,no,5766,yes,yes,unknown,28,may,1,-1,0,unknown,0,1,0,13785.0,9.531408863445597,1
22571,40,entrepreneur,married,secondary,no,0,yes,yes,unknown,15,may,1,-1,0,unknown,0,1,0,8019.0,8.98969370086056,1
32096,52,unemployed,married,secondary,no,2142,no,no,cellular,8,aug,2,-1,0,unknown,0,1,0,10161.0,9.226410552153677,2
9378,58,retired,married,tertiary,no,138,no,no,cellular,7,may,1,346,5,failure,0,0,1,8157.0,9.006754319877503,1
8569,47,management,married,tertiary,no,286,no,no,cellular,22,aug,7,-1,0,unknown,0,1,0,8305.0,9.024733424190698,5_or_more
3279,29,student,single,secondary,no,658,no,no,cellular,15,jul,2,244,4,other,1,0,1,8677.0,9.068546366358296,2
14634,58,management,single,tertiary,no,0,no,no,cellular,22,aug,2,-1,0,unknown,0,1,0,8019.0,8.98969370086056,2
27190,29,technician,single,secondary,no,594,no,no,cellular,25,may,1,-1,0,unknown,0,1,0,8613.0,9.061144065614055,1
61,43,admin.,single,secondary,no,733,yes,no,cellular,19,nov,3,-1,0,unknown,1,1,0,8752.0,9.077151777732437,3_to_4
28989,35,blue-collar,single,unknown,no,597,yes,no,cellular,13,may,2,-1,0,unknown,0,1,0,8616.0,9.061492275239766,2
5964,59,admin.,married,secondary,no,106,no,no,cellular,22,may,1,-1,0,unknown,1,1,0,8125.0,9.002824076547672,1
20076,46,unemployed,divorced,secondary,no,3354,yes,no,cellular,19,nov,1,174,1,success,1,0,1,11373.0,9.339085327866744,1
3054,41,self-employed,divorced,tertiary,no,4717,yes,no,cellular,19,nov,2,-1,0,unknown,0,1,0,12736.0,9.45226642258976,2
3202,37,housemaid,married,primary,no,94,yes,no,cellular,20,apr,2,-1,0,unknown,0,1,0,8113.0,9.001346243766392,2
33487,37,admin.,married,unknown,no,892,yes,no,cellular,30,jul,17,-1,0,unknown,0,1,0,8911.0,9.095153962167066,5_or_more
32490,26,management,single,tertiary,no,1284,yes,no,unknown,21,may,8,-1,0,unknown,0,1,0,9303.0,9.1381996941985,5_or_more
5167,35,unemployed,married,tertiary,no,259,no,yes,cellular,21,nov,2,-1,0,unknown,0,1,0,8278.0,9.021477467138807,2
27661,23,management,single,tertiary,no,1004,yes,no,cellular,30,mar,2,-1,0,unknown,0,1,0,9023.0,9.10764297373784,2
22702,64,retired,married,secondary,no,1612,no,no,cellular,18,may,1,89,5,failure,1,0,1,9631.0,9.172846167548602,1
11417,42,technician,single,tertiary,no,-380,yes,no,cellular,6,may,1,294,1,other,0,0,1,7639.0,8.941152882160566,1
4227,44,entrepreneur,married,tertiary,no,0,yes,no,unknown,9,jul,1,-1,0,unknown,0,1,0,8019.0,8.98969370086056,1
29055,62,housemaid,married,tertiary,no,1528,no,no,cellular,15,oct,2,184,1,success,1,0,1,9547.0,9.16408698745872,2
4138,42,technician,married,secondary,no,0,yes,yes,cellular,15,jul,5,-1,0,unknown,0,1,0,8019.0,8.98969370086056,5_or_more
14047,31,management,single,tertiary,no,775,yes,no,cellular,20,apr,1,308,2,failure,0,0,1,8794.0,9.081938657171658,1
16739,43,services,married,secondary,no,-1,yes,no,cellular,15,may,1,311,2,failure,0,0,1,8018.0,8.989569004807029,1
3022,34,technician,single,secondary,no,0,no,no,cellular,7,aug,3,-1,0,unknown,0,1,0,8019.0,8.98969370086056,3_to_4
30758,51,management,married,tertiary,no,4,yes,no,cellular,21,nov,2,-1,0,unknown,0,1,0,8023.0,8.990192329641772,2
12535,47,admin.,married,tertiary,no,2279,yes,yes,cellular,27,may,1,-1,0,unknown,0,1,0,10298.0,9.239802082125802,1
1362,40,admin.,married,secondary,no,334,yes,no,unknown,6,jun,5,-1,0,unknown,0,1,0,8353.0,9.03049574505712,5_or_more
9291,34,services,married,secondary,no,24,yes,no,unknown,28,may,1,-1,0,unknown,0,1,0,8043.0,8.992681750892542,1
31673,37,self-employed,married,primary,no,67,no,no,cellular,31,jul,3,-1,0,unknown,0,1,0,8086.0,8.998013113095823,3_to_4
